"ZipCode","PlaceName",State,County,Lat,Long,RAND #s
33836,Davenport,FL,Polk,28.1672,-81.6316,0.00186785485628227
98160,Seattle,WA,King,47.6062,-122.3321,0.0018784300036776
16640,Flinton,PA,Cambria,40.6876,-78.5523,0.00191613177479055
2638,Dennis,MA,Barnstable,41.7322,-70.1911,0.00193354548392621
22711,Banco,VA,Madison,38.4285,-78.2678,0.00196868890721735
7626,Cresskill,NJ,Bergen,40.9418,-73.9652,0.00201138199154916
70062,Kenner,LA,Jefferson Parish,29.9912,-90.2479,0.00203336014954481
47436,Heltonville,IN,Lawrence,38.948,-86.3703,0.00205556510255844
74354,Miami,OK,Ottawa,36.8764,-94.8719,0.00207016332939858
98012,Bothell,WA,Snohomish,47.8401,-122.1972,0.00208364468415323
65284,Sturgeon,MO,Boone,39.2057,-92.2953,0.00208437346343782
67151,Walton,KS,Harvey,38.1239,-97.2361,0.00210464115392894
20837,Poolesville,MD,Montgomery,39.1386,-77.4067,0.00212136753648073
38746,Gunnison,MS,Bolivar,33.9439,-90.9319,0.00212675385512184
75238,Dallas,TX,Dallas,32.877,-96.708,0.00214827080689539
92160,San Diego,CA,San Diego,32.7153,-117.1573,0.00216169612919015
93035,Oxnard,CA,Ventura,34.1822,-119.216,0.00219661947657512
56561,Moorhead,MN,Clay,46.8739,-96.7695,0.00220022910199336
44230,Doylestown,OH,Wayne,40.965,-81.6848,0.00220024849970657
45061,Ross,OH,Butler,39.3124,-84.6483,0.00221199761300162
35634,Florence,AL,Lauderdale,34.9186,-87.6136,0.00221853110179449
79356,Post,TX,Garza,33.2017,-101.3922,0.00222421686272489
56521,Callaway,MN,Becker,47.0076,-95.944,0.00223182806393407
38187,Memphis,TN,Shelby,35.2017,-89.9715,0.00230765537114186
68455,Union,NE,Cass,40.8245,-95.9037,0.00230896581640405
5406,Burlington,VT,Chittenden,44.4421,-73.0825,0.00231118842308353
38866,Saltillo,MS,Lee,34.3831,-88.6674,0.00231697303918477
1752,Marlborough,MA,Middlesex,42.3509,-71.5434,0.00232793677886245
12440,High Falls,NY,Ulster,41.8167,-74.1311,0.00236670646832005
19137,Philadelphia,PA,Philadelphia,40.0008,-75.0727,0.00236756086328849
24093,Glen Lyn,VA,Giles,37.3669,-80.8634,0.00239811676740231
47579,Santa Claus,IN,Spencer,38.1176,-86.9286,0.00242426564972398
96162,Truckee,CA,Nevada,39.328,-120.1833,0.00244392961978424
25025,Blount,WV,Kanawha,38.3121,-81.4052,0.00244578047836597
77059,Houston,TX,Harris,29.5975,-95.1134,0.00246677814645435
23464,Virginia Beach,VA,Virginia Beach (city),36.7978,-76.1759,0.0025011801426339
19047,Langhorne,PA,Bucks,40.1813,-74.9104,0.00252218080751443
30510,Alto,GA,Habersham,34.4591,-83.602,0.00254690223198462
96817,Honolulu,HI,Honolulu,21.3295,-157.8615,0.00255431832132391
33957,Sanibel,FL,Lee,26.4514,-82.0868,0.00260330742221448
24250,Fort Blackmore,VA,Scott,36.7438,-82.6102,0.00261191010732087
18324,Bushkill,PA,Pike,41.1285,-75.0132,0.00263910482002649
58703,Minot,ND,Ward,48.3306,-101.3156,0.00264237909930398
92266,Palo Verde,CA,Imperial,33.3696,-114.7355,0.00265137858769182
14141,Springville,NY,Erie,42.52,-78.6847,0.00265880224690895
61940,Metcalf,IL,Edgar,39.8008,-87.7955,0.0026862220365812
56186,Woodstock,MN,Pipestone,43.9873,-96.1192,0.00269002799899309
93656,Riverdale,CA,Fresno,36.4295,-119.872,0.00284180715983273
14841,Hector,NY,Schuyler,42.4966,-76.8786,0.00287451147853757
2806,Barrington,RI,Bristol,41.7443,-71.3175,0.00290108967360359
20241,Washington,DC,District of Columbia,38.8933,-77.0146,0.00292396251945137
58061,Mooreton,ND,Richland,46.2686,-96.8762,0.00295023187490751
85610,Elfrida,AZ,Cochise,31.7139,-109.6193,0.00300598200841795
15856,Rockton,PA,Clearfield,41.0806,-78.6577,0.00300834291586349
12436,Haines Falls,NY,Greene,42.1955,-74.1023,0.00305800913085041
25315,Charleston,WV,Kanawha,38.2351,-81.5536,0.00308948850430235
23288,Henrico,VA,Henrico,37.4638,-77.398,0.00309404391890711
97377,Shedd,OR,Linn,44.453,-123.1065,0.00309559509652391
80124,Lone Tree,CO,Douglas,39.5517,-104.8863,0.00311827691072852
95490,Willits,CA,Mendocino,39.4493,-123.3679,0.00312981488618092
93626,Friant,CA,Fresno,37.0422,-119.6807,0.00320748150757932
72126,Perryville,AR,Perry,34.9701,-92.8472,0.00325280012262474
19139,Philadelphia,PA,Philadelphia,39.9612,-75.2303,0.00327750820181982
85619,Mount Lemmon,AZ,Pima,32.3763,-110.7605,0.00332991396168847
95131,San Jose,CA,Santa Clara,37.3864,-121.88,0.00338258206972031
63032,Florissant,MO,St. Louis,38.6383,-90.4271,0.00341183936162226
